species	feature	count
aburma	downstream	79497
aburma	downstream_distal	202395
aburma	five_prime_UTR	104379
aburma	intron	665613
aburma	three_prime_UTR	119773
aburma	upstream	96209
aburma	upstream_distal	259142
achine	downstream	79399
achine	downstream_distal	201223
achine	five_prime_UTR	102168
achine	intron	661927
achine	three_prime_UTR	118615
achine	upstream	94774
achine	upstream_distal	257340
agerar	downstream	79545
agerar	downstream_distal	202284
agerar	five_prime_UTR	102034
agerar	intron	666780
agerar	three_prime_UTR	118503
agerar	upstream	94477
agerar	upstream_distal	258765
avirgi	downstream	75258
avirgi	downstream_distal	192108
avirgi	five_prime_UTR	97143
avirgi	intron	636969
avirgi	three_prime_UTR	113157
avirgi	upstream	89071
avirgi	upstream_distal	245959
blagur	downstream	80300
blagur	downstream_distal	203383
blagur	five_prime_UTR	102788
blagur	intron	669639
blagur	three_prime_UTR	119514
blagur	upstream	95587
blagur	upstream_distal	260659
ccitra	downstream	78987
ccitra	downstream_distal	199756
ccitra	five_prime_UTR	101588
ccitra	intron	656165
ccitra	three_prime_UTR	118002
ccitra	upstream	94227
ccitra	upstream_distal	256525
crefra	downstream	75464
crefra	downstream_distal	191328
crefra	five_prime_UTR	97299
crefra	intron	632791
crefra	three_prime_UTR	113441
crefra	upstream	89732
crefra	upstream_distal	245854
etrips	downstream	78425
etrips	downstream_distal	200243
etrips	five_prime_UTR	102414
etrips	intron	662175
etrips	three_prime_UTR	118002
etrips	upstream	94001
etrips	upstream_distal	255265
hcompr	downstream	79997
hcompr	downstream_distal	203091
hcompr	five_prime_UTR	104702
hcompr	intron	673704
hcompr	three_prime_UTR	120394
hcompr	upstream	95859
hcompr	upstream_distal	259049
hconto	downstream	76800
hconto	downstream_distal	194333
hconto	five_prime_UTR	98547
hconto	intron	643339
hconto	three_prime_UTR	115176
hconto	upstream	91330
hconto	upstream_distal	248606
irugos	downstream	77343
irugos	downstream_distal	197251
irugos	five_prime_UTR	100100
irugos	intron	646068
irugos	three_prime_UTR	115639
irugos	upstream	92813
irugos	upstream_distal	252871
ppanic	downstream	75252
ppanic	downstream_distal	191622
ppanic	five_prime_UTR	97497
ppanic	intron	631308
ppanic	three_prime_UTR	112610
ppanic	upstream	89129
ppanic	upstream_distal	244427
pvagin	downstream	64809
pvagin	downstream_distal	164998
pvagin	five_prime_UTR	87975
pvagin	intron	550432
pvagin	three_prime_UTR	101430
pvagin	upstream	77973
pvagin	upstream_distal	209433
rrottb	downstream	80145
rrottb	downstream_distal	203155
rrottb	five_prime_UTR	103830
rrottb	intron	672396
rrottb	three_prime_UTR	119661
rrottb	upstream	96188
rrottb	upstream_distal	258969
rtuber	downstream	77295
rtuber	downstream_distal	197968
rtuber	five_prime_UTR	99644
rtuber	intron	662713
rtuber	three_prime_UTR	116223
rtuber	upstream	90912
rtuber	upstream_distal	252765
sbicol	downstream	77030
sbicol	downstream_distal	196007
sbicol	five_prime_UTR	99518
sbicol	intron	656148
sbicol	three_prime_UTR	115647
sbicol	upstream	91001
sbicol	upstream_distal	251469
smicro	downstream	70824
smicro	downstream_distal	181383
smicro	five_prime_UTR	91562
smicro	intron	607247
smicro	three_prime_UTR	107406
smicro	upstream	83100
smicro	upstream_distal	231805
snutan	downstream	80382
snutan	downstream_distal	205358
snutan	five_prime_UTR	103684
snutan	intron	670230
snutan	three_prime_UTR	119608
snutan	upstream	96390
snutan	upstream_distal	263008
sscopa	downstream	76305
sscopa	downstream_distal	195096
sscopa	five_prime_UTR	97554
sscopa	intron	645892
sscopa	three_prime_UTR	114397
sscopa	upstream	90042
sscopa	upstream_distal	249085
sspont	downstream	81446
sspont	downstream_distal	207193
sspont	five_prime_UTR	104387
sspont	intron	683122
sspont	three_prime_UTR	120965
sspont	upstream	96701
