Feature	Zm-B73-REFERENCE-NAM-5.0_bp	PhastCons_filtered_bp	Query_bp	PhastCons_Query_intersect_bp	Proportion_Query_in_genome	Proportion_Query_in_PhastCons	Enrichment
Chromatin loop	2182075994	36223098	60602398	4904999	0.02777281734	0.1354108089	4.875659794
ACR	2182075994	36223098	82558069	7936695	0.03783464427	0.2191059141	5.791145083
3'UTR	2182075994	36223098	14039865	2952606	0.006434177837	0.08151169179	12.66854816
5'UTR	2182075994	36223098	10846986	2209192	0.004970947863	0.06098848862	12.26898577
TE	2182075994	36223098	1860160019	2243167	0.8524726105	0.06192642606	0.0726433029
Intron	2182075994	36223098	115401792	14719650	0.05288623875	0.4063608806	7.683678971
TFBS	2182075994	36223098	272502058	5146501	0.12488202	0.1420778808	1.13769685
ncDNA	2182075994	36223098	3467791	319875	0.00158921642	0.0088306914	5.556632368
TF-bound	2182075994	36223098	59910039	8023815	0.02745552362	0.2215110094	8.067994346
MOA-motif	2182075994	36223098	4710889	511131	0.002158902354	0.01411063736	6.53602389
