Feature	Zm-B73-REFERENCE-NAM-5.0_bp	PhastCons_raw_bp	Query_bp	PhastCons_Query_intersect_bp	Proportion_Query_in_genome	Proportion_Query_in_PhastCons	Enrichment
Chromatin loop	2182075994	72387045	60602398	10356801	0.02777281734	0.143075339	5.15163216
ACR	2182075994	72387045	82558069	13482156	0.03783464427	0.1862509514	4.922762061
3'UTR	2182075994	72387045	14039865	4649280	0.006434177837	0.06422806733	9.982327028
5'UTR	2182075994	72387045	10846986	3755176	0.004970947863	0.05187635439	10.43590796
CDS	2182075994	72387045	43681838	28819626	0.02001847696	0.398132373	19.88824494
TE	2182075994	72387045	1860160019	3220543	0.8524726105	0.04449059911	0.05219006284
Intron	2182075994	72387045	115401792	16723589	0.05288623875	0.2310301381	4.368435788
TFBS	2182075994	72387045	272502058	9512477	0.12488202	0.1314113181	1.052283732
ncDNA	2182075994	72387045	3467791	853056	0.00158921642	0.01178465014	7.415384078
TF-bound	2182075994	72387045	59910039	15868505	0.02745552362	0.2192174719	7.984457877
MOA motif	2182075994	72387045	4710889	549083	0.002158902354	0.007585376637	3.513533914
