id	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	name
GO:0000105	0.000314376717139391	397	2.08309537946619	0	0	10741	12	12	1.02891559913543	0.710267176238029	0.948369289611064	histidine biosynthetic process
GO:0000179	9.60631878049042e-05	131	2.24948615567937	2.22044604925031e-16	1.68936533833655e-15	12463	4	5	0.823132479308345	0.992542705869029	0.999999996678771	rRNA (adenine-N6,N6-)-dimethyltransferase activity
GO:0000313	9.76678997344746e-05	120	2.02674178212419	2.71715983046761e-12	1.58651441928466e-11	18526	6	6	1.02891559913543	0.842784742908068	0.948369289611064	organellar ribosome
GO:0000492	0.000187543963788711	237	2.08455941797035	0	0	11708	11	11	1.02891559913543	0.730810933781023	0.948369289611064	box C/D snoRNP assembly
GO:0000722	0.000105585448012527	185	2.89025848453312	0	0	6010	7	7	1.02891559913543	0.819096335237614	0.948369289611064	telomere maintenance via recombination
GO:0000808	0.000171585030942221	214	2.05732734884267	0	0	35484	6	6	1.02891559913543	0.842784742908068	0.948369289611064	origin recognition complex
GO:0000811	0.000103218017112632	177	2.82869926767298	0	0	13294	5	5	1.02891559913543	0.867157580884768	0.948369289611064	GINS complex
GO:0000813	7.67742783468909e-05	178	3.82448782564278	0	0	8230	5	5	1.02891559913543	0.867157580884768	0.948369289611064	ESCRT I complex
GO:0000965	6.6530108855547e-05	166	4.1158437323216	0	0	7220	6	6	1.02891559913543	0.842784742908068	0.948369289611064	mitochondrial RNA 3'-end processing
GO:0002215	0.00012224893429901	154	2.07799578527218	4.44089209850063e-16	3.36416718237709e-15	8370	6	6	1.02891559913543	0.842784742908068	0.948369289611064	defense response to nematode
GO:0003825	0.000251824849112458	314	2.05683800839535	0	0	30421	6	6	1.02891559913543	0.842784742908068	0.948369289611064	alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity
GO:0004069	0.000123052932032797	181	2.42636220248472	0	0	6584	5	5	1.02891559913543	0.867157580884768	0.948369289611064	L-aspartate:2-oxoglutarate aminotransferase activity
GO:0004134	0.000160879758899937	203	2.08143884119282	0	0	12370	9	9	1.02891559913543	0.773696537467613	0.948369289611064	4-alpha-glucanotransferase activity
GO:0004146	0.000140266176396291	264	3.10470250312392	0	0	10253	8	8	1.02891559913543	0.796073154963051	0.948369289611064	dihydrofolate reductase activity
GO:0004300	0.000514917862496222	633	2.02784509043652	0	0	13618	19	21	0.93092363731301	0.979819201201661	0.999999996678771	enoyl-CoA hydratase activity
GO:0004347	0.000145915738068243	243	2.74709172543121	0	0	13839	5	5	1.02891559913543	0.867157580884768	0.948369289611064	glucose-6-phosphate isomerase activity
GO:0004356	0.000355604351223539	511	2.37040665135423	0	0	18272	14	14	1.02891559913543	0.67089444608364	0.948369289611064	glutamate-ammonia ligase activity
GO:0004395	5.75815296446688e-05	76	2.1772054762052	1.21380416828742e-09	5.59910977891115e-09	6244	6	6	1.02891559913543	0.842784742908068	0.948369289611064	hexaprenyldihydroxybenzoate methyltransferase activity
GO:0004579	0.000156052488959215	243	2.5686480192073	0	0	14899	8	8	1.02891559913543	0.796073154963051	0.948369289611064	dolichyl-diphosphooligosaccharide-protein glycotransferase activity
GO:0004614	5.75913802586767e-05	153	4.38230870055073	0	0	3738	5	5	1.02891559913543	0.867157580884768	0.948369289611064	phosphoglucomutase activity
GO:0004819	7.82471796794986e-05	126	2.65626179337991	0	0	3497	5	5	1.02891559913543	0.867157580884768	0.948369289611064	glutamine-tRNA ligase activity
GO:0004829	0.000144476141192519	213	2.43193796890117	0	0	13408	5	5	1.02891559913543	0.867157580884768	0.948369289611064	threonine-tRNA ligase activity
GO:0005047	0.000150415592362416	203	2.22624113415874	0	0	8823	7	7	1.02891559913543	0.819096335237614	0.948369289611064	signal recognition particle binding
GO:0005344	0.000132358009655389	200	2.49257819353683	0	0	9857	6	6	1.02891559913543	0.842784742908068	0.948369289611064	oxygen carrier activity
GO:0005483	0.000141684664813427	235	2.73598705705829	0	0	23984	5	5	1.02891559913543	0.867157580884768	0.948369289611064	soluble NSF attachment protein activity
GO:0005983	0.000257083200685239	316	2.02760058459521	0	0	10291	11	11	1.02891559913543	0.730810933781023	0.948369289611064	starch catabolic process
GO:0006072	0.000128027023029922	181	2.33209346060885	0	0	21146	5	5	1.02891559913543	0.867157580884768	0.948369289611064	glycerol-3-phosphate metabolic process
GO:0006266	0.000148595574155245	223	2.4755289643583	0	0	22629	5	5	1.02891559913543	0.867157580884768	0.948369289611064	DNA ligation
GO:0006446	0.000129277112855208	254	3.24101540695848	0	0	12942	6	6	1.02891559913543	0.842784742908068	0.948369289611064	regulation of translational initiation
GO:0006452	0.000129771519863033	186	2.3642999691173	0	0	14219	6	6	1.02891559913543	0.842784742908068	0.948369289611064	translational frameshifting
GO:0006513	0.000118079310112529	186	2.59841288124122	0	0	6092	5	5	1.02891559913543	0.867157580884768	0.948369289611064	protein monoubiquitination
GO:0006542	0.000170661887686625	300	2.89970443675823	0	0	17004	8	8	1.02891559913543	0.796073154963051	0.948369289611064	glutamine biosynthetic process
GO:0006552	0.000278639158595638	341	2.01874401613152	0	0	16357	7	7	1.02891559913543	0.819096335237614	0.948369289611064	leucine catabolic process
GO:0006557	4.0346238668871e-05	84	3.4343555629098	0	0	5195	5	5	1.02891559913543	0.867157580884768	0.948369289611064	obsolete S-adenosylmethioninamine biosynthetic process
GO:0007023	0.000175370950259252	309	2.90649678948673	0	0	16874	7	7	1.02891559913543	0.819096335237614	0.948369289611064	post-chaperonin tubulin folding pathway
GO:0007155	0.000207649536055664	261	2.07337837979407	0	0	9996	7	7	1.02891559913543	0.819096335237614	0.948369289611064	cell adhesion
GO:0008083	0.000263593049313879	332	2.07765365783763	0	0	11142	14	14	1.02891559913543	0.67089444608364	0.948369289611064	growth factor activity
