species	genes	zmays_genes	turnover
znicar	4477	5951	0.247689
ttrian	4970	5951	0.164846
snutan	5230	5951	0.121156
ppanic	5357	5951	0.0998152
aburma	5449	5951	0.0843556
telega	5466	5951	0.0814989
sscopa	5475	5951	0.0799866
vcuspi	5525	5951	0.0715846
rrottb	5528	5951	0.0710805
rtuber	5553	5951	0.0668795
smicro	5587	5951	0.0611662
tdacts	5592	5951	0.060326
crefra	5597	5951	0.0594858
etrips	5604	5951	0.0583095
avirgi	5612	5951	0.0569652
irugos	5614	5951	0.0566291
ccitra	5616	5951	0.0562931
zdiplg	5617	5951	0.056125
hcompr	5626	5951	0.0546127
sbicol	5637	5951	0.0527642
achine	5661	5951	0.0487313
zdiplm	5662	5951	0.0485633
udigit	5678	5951	0.0458746
hconto	5680	5951	0.0455386
tdactn	5682	5951	0.0452025
zhuehu	5686	5951	0.0445303
agerar	5700	5951	0.0421778
zTIL18	5705	5951	0.0413376
zTIL25	5709	5951	0.0406654
blagur	5726	5951	0.0378088
zTIL01	5736	5951	0.0361284
zTIL11	5743	5951	0.0349521
