subgenome	species	gene	zmays_genes	turnover
vcuspi@2	vcuspi	3726	5951	0.373887
snutan@2	snutan	3861	5951	0.351201
vcuspi@1	vcuspi	4091	5951	0.312553
snutan@1	snutan	4217	5951	0.29138
sscopa@2	sscopa	4340	5951	0.270711
aburma@2	aburma	4445	5951	0.253067
znicar	znicar	4477	5951	0.247689
sscopa@1	sscopa	4549	5951	0.235591
rrottb@1	rrottb	4560	5951	0.233742
telega@1	telega	4616	5951	0.224332
telega@2	telega	4698	5951	0.210553
hcompr@5	hcompr	4700	5951	0.210217
rrottb@2	rrottb	4758	5951	0.200471
aburma@1	aburma	4853	5951	0.184507
ttrian@1	ttrian	4970	5951	0.164846
etrips@2	etrips	5009	5951	0.158293
blagur@2	blagur	5022	5951	0.156108
hcompr@6	hcompr	5039	5951	0.153252
hconto@4	hconto	5121	5951	0.139472
etrips@1	etrips	5148	5951	0.134935
hcompr@4	hcompr	5212	5951	0.124181
hcompr@2	hcompr	5272	5951	0.114098
hcompr@1	hcompr	5281	5951	0.112586
blagur@3	blagur	5322	5951	0.105697
blagur@1	blagur	5328	5951	0.104688
agerar@2	agerar	5330	5951	0.104352
ccitra@2	ccitra	5344	5951	0.102
hcompr@3	hcompr	5344	5951	0.102
agerar@3	agerar	5353	5951	0.100487
ppanic@1	ppanic	5357	5951	0.0998152
udigit@3	udigit	5386	5951	0.094942
agerar@1	agerar	5407	5951	0.0914132
ccitra@1	ccitra	5416	5951	0.0899009
udigit@1	udigit	5435	5951	0.0867081
udigit@2	udigit	5439	5951	0.086036
hconto@3	hconto	5472	5951	0.0804907
hconto@1	hconto	5495	5951	0.0766258
hconto@2	hconto	5501	5951	0.0756175
rtuber@1	rtuber	5553	5951	0.0668795
achine@2	achine	5564	5951	0.0650311
achine@1	achine	5578	5951	0.0626785
smicro@1	smicro	5587	5951	0.0611662
tdacts	tdacts	5592	5951	0.060326
crefra@1	crefra	5597	5951	0.0594858
avirgi@1	avirgi	5612	5951	0.0569652
irugos@1	irugos	5614	5951	0.0566291
zdiplg	zdiplg	5617	5951	0.056125
sbicol@1	sbicol	5637	5951	0.0527642
zdiplm	zdiplm	5662	5951	0.0485633
tdactn	tdactn	5682	5951	0.0452025
zhuehu	zhuehu	5686	5951	0.0445303
zTIL18	zTIL18	5705	5951	0.0413376
zTIL25	zTIL25	5709	5951	0.0406654
zTIL01	zTIL01	5736	5951	0.0361284
zTIL11	zTIL11	5743	5951	0.0349521
