species,divergence,mismatches,aligned_sites,total_sites
smicro,16.166187740094145,613948,3797729,4468604
zluxur,2.9694741261924475,75672,2548330,4468604
telega,16.29875929089674,463369,2842971,4468604
aburma,16.185225958698794,525303,3245571,4468604
sscopa,16.677074336544774,556294,3335681,4468604
rrottb,16.960430016189658,545490,3216251,4468604
snutan,15.616693874992912,523267,3350690,4468604
ttrian,17.346375623955307,591216,3408297,4468604
znicar,2.9221582676156164,95530,3269159,4468604
hconto,17.677857279721948,690099,3903748,4468604
ppanic,16.686841514214937,656037,3931463,4468604
etrips,15.859981813112798,608695,3837930,4468604
avirgi,16.021777056187226,640840,3999806,4468604
crefra,16.6850922507021,670401,4017964,4468604
achine,16.48912795026473,661511,4011801,4468604
ccitra,16.794314984452935,674654,4017157,4468604
agerar,15.528002036242144,628367,4046670,4468604
tdactn,7.579729831305635,282351,3725080,4468604
rtuber,13.97429599640352,556721,3983893,4468604
irugos,17.199612723012585,703303,4089063,4468604
sbicol,15.00805402804426,619122,4125265,4468604
blagur,16.49080421352461,680387,4125857,4468604
udigit,13.842539664043999,560721,4050709,4468604
hcompr,15.379251510357275,630782,4101513,4468604
vcuspi,13.870680121510215,418163,3014726,4468604
tdacts,7.477309888979003,297608,3980148,4468604
zdiplm,2.7217765270097845,116406,4276839,4468604
zdiplg,2.8142223739258814,120374,4277345,4468604
zhuehu,2.515056848562347,110537,4395010,4468604
zTIL25,2.2897942060310905,100429,4385940,4468604
zTIL18,2.2864752304964093,100480,4394537,4468604
zTIL01,2.1668882767830104,94960,4382321,4468604
zTIL11,2.15161314684882,94585,4396004,4468604
