species	feature	bp
aburma	five_prime_UTR	2238706
achine	five_prime_UTR	2169969
agerar	five_prime_UTR	2164810
avirgi	five_prime_UTR	2070132
blagur	five_prime_UTR	2180667
ccitra	five_prime_UTR	2157829
crefra	five_prime_UTR	2074633
etrips	five_prime_UTR	2208691
hcompr	five_prime_UTR	2249871
hconto	five_prime_UTR	2099483
ppanic	five_prime_UTR	2087593
pvagin	five_prime_UTR	1933960
rrottb	five_prime_UTR	2233672
rtuber	five_prime_UTR	2146677
sbicol	five_prime_UTR	2120011
snutan	five_prime_UTR	2208465
sscopa	five_prime_UTR	2077127
sspont	five_prime_UTR	2222548
tdactn	five_prime_UTR	2285358
tdacts	five_prime_UTR	2267048
telega	five_prime_UTR	2208001
tzopol	five_prime_UTR	2327938
udigit	five_prime_UTR	2252211
vcuspi	five_prime_UTR	2157978
zB73v5	five_prime_UTR	2405008
zTIL01	five_prime_UTR	2363829
zTIL11	five_prime_UTR	2360032
zTIL18	five_prime_UTR	2361736
zTIL25	five_prime_UTR	2351424
zdiplg	five_prime_UTR	2327958
zdiplm	five_prime_UTR	2328543
zhuehu	five_prime_UTR	2354834
zluxur	five_prime_UTR	2302475
znicar	five_prime_UTR	2040886
aburma	intron	12466803
etrips	intron	12462811
hcompr	intron	12661424
pvagin	intron	10416254
rrottb	intron	12656310
rtuber	intron	12478001
tdactn	intron	13092334
tdacts	intron	12993999
telega	intron	12403303
tzopol	intron	13301826
udigit	intron	12819458
vcuspi	intron	12459542
zB73v5	intron	13776714
zTIL01	intron	13505150
zTIL11	intron	13509631
zTIL18	intron	13499805
zTIL25	intron	13474823
zdiplg	intron	13296040
zdiplm	intron	13308381
zhuehu	intron	13469607
zluxur	intron	13180483
znicar	intron	11797845
achine	intron	12322135
agerar	intron	12417539
blagur	intron	12476678
ccitra	intron	12211779
crefra	intron	11784480
hconto	intron	11983215
irugos	intron	12052965
ppanic	intron	11773537
sbicol	intron	12264448
snutan	intron	12520584
sspont	intron	12774063
ttrian	intron	11022849
avirgi	intron	11856472
smicro	intron	11297373
sscopa	intron	12031475
aburma	three_prime_UTR	2799307
etrips	three_prime_UTR	2770728
hcompr	three_prime_UTR	2820698
rrottb	three_prime_UTR	2802798
rtuber	three_prime_UTR	2726567
tdactn	three_prime_UTR	2850032
tdacts	three_prime_UTR	2829765
telega	three_prime_UTR	2764096
tzopol	three_prime_UTR	2905728
udigit	three_prime_UTR	2826053
vcuspi	three_prime_UTR	2739944
zB73v5	three_prime_UTR	3003848
zTIL01	three_prime_UTR	2945045
zTIL11	three_prime_UTR	2949086
zTIL18	three_prime_UTR	2947292
zTIL25	three_prime_UTR	2944410
zdiplg	three_prime_UTR	2903626
zdiplm	three_prime_UTR	2902476
zhuehu	three_prime_UTR	2942490
zluxur	three_prime_UTR	2875423
znicar	three_prime_UTR	2581098
achine	three_prime_UTR	2747626
agerar	three_prime_UTR	2740029
avirgi	three_prime_UTR	2627537
blagur	three_prime_UTR	2766381
ccitra	three_prime_UTR	2737712
crefra	three_prime_UTR	2643203
hconto	three_prime_UTR	2678551
irugos	three_prime_UTR	2691402
ppanic	three_prime_UTR	2620135
smicro	three_prime_UTR	2500909
snutan	three_prime_UTR	2776906
sscopa	three_prime_UTR	2652361
sspont	three_prime_UTR	2801213
ttrian	three_prime_UTR	2474495
sbicol	three_prime_UTR	2689138
pvagin	three_prime_UTR	2448482
aburma	upstream_distal	6120455
achine	upstream_distal	5966791
agerar	upstream_distal	5978610
blagur	upstream_distal	6026772
ccitra	upstream_distal	5950192
crefra	upstream_distal	5725493
etrips	upstream_distal	6129470
hcompr	upstream_distal	6094602
hconto	upstream_distal	5725154
irugos	upstream_distal	5985318
ppanic	upstream_distal	5699033
rrottb	upstream_distal	6122763
rtuber	upstream_distal	6064755
sbicol	upstream_distal	5805680
smicro	upstream_distal	5418779
sscopa	upstream_distal	5827242
sspont	upstream_distal	6176449
tdactn	upstream_distal	6419548
tdacts	upstream_distal	6372257
ttrian	upstream_distal	5383255
tzopol	upstream_distal	6570303
udigit	upstream_distal	6211542
vcuspi	upstream_distal	6066475
zB73v5	upstream_distal	7060161
zTIL01	upstream_distal	6783821
zTIL11	upstream_distal	6792965
zTIL18	upstream_distal	6733116
